fund_name,sector,start_weight_pct,end_weight_pct,start_date,end_date
Bank of India MF,Chemicals,1.85,1.57,2026-04-01,2026-05-01
Bank of India MF,Co-Working,0.38,0.41,2026-04-01,2026-05-01
Bank of India MF,Consumer Durables,1.26,1.43,2026-04-01,2026-05-01
Bank of India MF,Consumer Goods,8.9,8.97,2026-04-01,2026-05-01
Bank of India MF,Engineering & Capital Goods,9.51,8.7,2026-04-01,2026-05-01
Bank of India MF,Financial Services,0.66,1.2,2026-04-01,2026-05-01
Bank of India MF,Financial services/Insurance,8.0,7.06,2026-04-01,2026-05-01
Bank of India MF,Infra/Real estate,5.78,5.78,2026-04-01,2026-05-01
Bank of India MF,IT,3.54,3.56,2026-04-01,2026-05-01
Bank of India MF,IT - Hardware,0.06,0.06,2026-04-01,2026-05-01
Bank of India MF,Metals & Mining,9.54,9.28,2026-04-01,2026-05-01
Bank of India MF,Miscellaneous,5.6,5.55,2026-04-01,2026-05-01
Bank of India MF,Oil/Energy,3.46,3.05,2026-04-01,2026-05-01
Bank of India MF,Pharma/healthcare,8.88,11.66,2026-04-01,2026-05-01
Bank of India MF,Plywood Boards/Laminates,0.91,1.1,2026-04-01,2026-05-01
Bank of India MF,Power,3.93,3.94,2026-04-01,2026-05-01
Bank of India MF,Telecom/Media,2.64,2.47,2026-04-01,2026-05-01
Baroda BNP MF,Aerospace & Defence,1.96,2.42,2026-04-01,2026-05-01
Baroda BNP MF,Auto & Auto Ancillaries,9.34,9.79,2026-04-01,2026-05-01
Baroda BNP MF,Banks,16.5,16.28,2026-04-01,2026-05-01
Baroda BNP MF,Building materials,2.11,2.44,2026-04-01,2026-05-01
Baroda BNP MF,Chemicals,2.98,3.04,2026-04-01,2026-05-01
Baroda BNP MF,Co-Working,0.33,0.31,2026-04-01,2026-05-01
Baroda BNP MF,Consumer Durables,1.97,1.55,2026-04-01,2026-05-01
Baroda BNP MF,Consumer Goods,8.51,7.91,2026-04-01,2026-05-01
Baroda BNP MF,Engineering & Capital Goods,8.4,8.64,2026-04-01,2026-05-01
Baroda BNP MF,Financial Services,2.61,2.59,2026-04-01,2026-05-01
Baroda BNP MF,Financial services/Insurance,5.45,5.97,2026-04-01,2026-05-01
Baroda BNP MF,Infra/Real estate,4.23,4.45,2026-04-01,2026-05-01
Baroda BNP MF,IT,11.42,10.1,2026-04-01,2026-05-01
Baroda BNP MF,Metals & Mining,3.34,3.45,2026-04-01,2026-05-01
Baroda BNP MF,Miscellaneous,2.02,2.1,2026-04-01,2026-05-01
Baroda BNP MF,Oil/Energy,4.67,4.72,2026-04-01,2026-05-01
Baroda BNP MF,Pharma/healthcare,7.18,7.53,2026-04-01,2026-05-01
Baroda BNP MF,Power,3.41,3.34,2026-04-01,2026-05-01
Baroda BNP MF,Printing & Stationery,0.04,0.03,2026-04-01,2026-05-01
Baroda BNP MF,Quick Service Restaurant,0.4,0.32,2026-04-01,2026-05-01
